TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.8>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,Software for Mobile Devices (CS-D),,,,,,,,,Software for Mobile Devices (CS-C),,,,,,,,,Object Oriented  Analysis & Design (CS-A),,,,,,,,,______________________,,,,,,,,,Object Oriented  Analysis & Design (CS-B),,,,,,,,,Differential Equations (CS-C),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Arabic Language (CS),,,,,,,,,Digital Logic Design (CS-A) ,,,,,,,,,Digital Logic Design (CS-C) ,,,,,,,,,Differential Equations (CS-A),,,,,,,,,Psychology (CS),,,,,,,,,Differential Equations (CS-B),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,Technical & Business Writing (CS-A),,,,,,,,,Technical & Business Writing (CS-F),,,,,,,,,Communication & Presentation Skills  (CS-F1),,,,,,,,,______________________,,,,,,,,,Communication & Presentation Skills  (CS-H1),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,______________________,,,,,,,,______________________,,,,,,,,,Communication & Presentation Skills  (CS-F2),,,,,,,,,______________________,,,,,,,,,Communication & Presentation Skills  (CS-H2),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,Pakistan Studies (CS-G),,,,,,,,,Theory of Automata (CS-A),,,,,,,,,Theory of Automata (CS-B),,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-A),,,,,,,,,______________________,,,,,,,,,Modern Politics & Government (CS),,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),________________________________,,,,,,,,,,,,,,,,,,Object Oriented Programming Lab (CS-B1&CS-B2),,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-G1&CS-G2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),________________________________,,,,,,,,,,,,,,,,,,______________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,________________________________,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-A1) ,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-C1) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,________________,_______,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,________________,_______,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,CS-1,______________________,,,,,,,,,Cloud Computing (MS),,,,,,,,,Digital Image Processing (CS),,,,,,,,,Theory of Automata - II (MS),,,,,,,,,Advanced Computer Architecture (MS),,,,,,,,,______________________,,,,,,,,,Requirement Engineering (MS-SPM),,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,Computer Networks (CS-B),,,,,,,,,Computer Networks (CS-A),,,,,,,,,Communication & Presentation Skills  (CS-G2),,,,,,,,,______________________,,,,,,,,,Social Network Analysis (MS-DS),,,,,,,,,Technical & Business Writing (CS-B),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,______________________,,,,,,,,,Computer Programming (CS),,,,,,,,,Operating Systems (CS-C),,,,,,,,,Operating Systems (CS-D),,,,,,,,,Design & Analysis of Algorithms (CS-B),,,,,,,,,Enterprise Information System (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,______________________,,,,,,,,,Data Structures (CS-A),,,,,,,,,Data Structures (CS-B),,,,,,,,,Operating Systems (CS-E),,,,,,,,,Professional Issues in IT (CS-C),,,,,,,,,Philosophy (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,Differential Equations (Cal II) (CS-A),,,,,,,,,Data Structures (CS-C),,,,,,,,,Differential Equations (Cal II) (CS-B),,,,,,,,,Operating Systems (CS-A),,,,,,,,,Operating Systems (CS-B),,,,,,,,,Organizational Behavior (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,Technical & Business Writing (CS-E),,,,,,,,,Programming Fundamentals (CS-G),,,,,,,,,Programming Fundamentals (CS-H),,,,,,,,,Data Science (CS-A),,,,,,,,,Data Science (CS-B),,,,,,,,,Compiler Construction (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,______________________,,,,,,,,,______________________,,,,,,,,,Design & Analysis of Algorithms (CS-A),,,,,,,,,Pakistan Studies (CS-D),,,,,,,,,Pakistan Studies (CS-C),,,,,,,,,Entrepreneurship (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Technical & Business Writing (CS-D),,,,,,,,,Web Programming (CS-A),,,,,,,,,Web Programming (CS-B),,,,,,,,,Digital Logic Design (CS-E) ,,,,,,,,,Digital Logic Design (CS-F) ,,,,,,,,,Pakistan Studies (CS-F),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Software Testing (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Advance Database Concepts (CS),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Artificial Intelligence (CS-E),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Artificial Intelligence (CS-C),,,,,,,,,Artificial Intelligence (CS-D),,,,,,,,,Numerical Methods (CS-D),,,,,,,,,Information Retrieval (CS),,,,,,,,,Human Computer Interaction (CS-D),,,,,,,,,Artificial Intelligence (CS-F),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,______________________,,,,,,,,,______________________,,,,,,,,,Object Oriented Programming (CS-A),,,,,,,,,Human Computer Interaction (CS-B),,,,,,,,,Human Computer Interaction (CS-A),,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Pakistan Studies (CS-E),,,,,,,,,Software Engineering (CS-B),,,,,,,,,Software Engineering (CS-A),,,,,,,,,Digital Logic Design (CS-H) ,,,,,,,,,Digital Logic Design (CS-G) ,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,Digital Logic Design (CS-D) ,,,,,,,,,______________________,,,,,,,,,Communication & Presentation Skills (CS-G1),,,,,,,,,______________________,,,,,,,,,Communication & Presentation Skills  (CS-E1),,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,______________________,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Communication & Presentation Skills  (CS-E2),,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-H),,,,,,,,,Differential Equations (Cal II) (CS-C),,,,,,,,,Differential Equations (Cal II) (CS-D),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),Database Systems Lab (CS-A1&CS-A2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),________________________________,,,,,,,,,,,,,,,,,,Design & Analysis of Algorithms (CS-F),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),Database Systems Lab (CS-B1&CS-B2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),Operating Systems Lab (CS-C1&CS-C2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),Operating Systems Lab (CS-D1&CS-D2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,Digital Logic Design Lab (CS-B1) ,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-C2) ,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-A2) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,Digital Logic Design Lab (CS-B2) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,______________________,,______________________,,,,,,,______________________,______________________,________________,_______,,,,,,_________,______________________,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,______________________,,______________________,,,,,,,______________________,______________________,________________,_______,,,,,,_________,______________________,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,______________________,,______________________,,,,,,,______________________,______________________,________________,_______,,,,,,_________,______________________,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,CS-1,______________________,,,,,,,,,______________________,,,,,,,,,Digital Image Processing (CS),,,,,,,,,______________________,,,,,,,,,Natural Language Processing (MS),,,,,,,,,______________________,,,,,,,,,Human Resource Management (MS-SPM),,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,Data Structure (section_x),,,,,,,,,Advance Operating Systems (MS),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,Software QA & Management (MS-SPM),,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,Data Structure (section_v),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,______________________,,,,,,,,,Object Oriented Programming (CS-F),,,,,,,,,Object Oriented Programming (CS-E),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,______________________,,,,,,,,,Object Oriented Programming (CS-C),,,,,,,,,Object Oriented Programming (CS-D),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Total Quality Management (CS),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Big Data Analytics / Mining Massive Datasets (MS-DS),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Research Project - I / II (MS-SPM),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,______________________,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,Pakistan Studies (CS-G),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-A),,,,,,,,,Differential Equations (Cal II) (CS-E),,,,,,,,,Modern Politics & Government (CS),,,,,,,,,______________________,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Computer Programming Lab (CS-1&CS-2),,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),Computer Networks Lab (CS-A1&CS-A2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Database Systems Lab (CS-E1&CS-E2),,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Comp. Org. & Assembly Lang.  Lab (CS-A1&CS-A2),,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),Comp. Org. & Assembly Lang.  Lab (CS-C1&CS-C2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-I1),,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),Operating Systems Lab (CS-E1&CS-E2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Comp. Org. & Assembly Lang.  Lab (CS-B1&CS-B2),,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),Object Oriented Analysis & Design Lab (CS-A1&CS-A2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Computer Networks Lab (CS-B1&CS-B2),,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,Digital Logic Design Lab (CS-H1) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-G1) ,,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,Digital Logic Design Lab (CS-H2) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,___________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,______________________,,______________________,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,______________________,,______________________,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
